,Postcode,Borough,Neighborhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.7532586,-79.3296565
1,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998
2,M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359
3,M5A,Downtown Toronto,Regent Park,43.6542599,-79.3606359
4,M6A,North York,Lawrence Heights,43.718517999999996,-79.46476329999999
5,M6A,North York,Lawrence Manor,43.718517999999996,-79.46476329999999
6,M7A,Queen's Park,Queen's Park,43.6623015,-79.3894938
7,M9A,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002
8,M1B,Scarborough,Rouge,43.806686299999996,-79.19435340000001
9,M1B,Scarborough,Malvern,43.806686299999996,-79.19435340000001
10,M3B,North York,Don Mills North,43.745905799999996,-79.352188
11,M4B,East York,Woodbine Gardens,43.7063972,-79.309937
12,M4B,East York,Parkview Hill,43.7063972,-79.309937
13,M5B,Downtown Toronto,Ryerson,43.6571618,-79.37893709999999
14,M5B,Downtown Toronto,Garden District,43.6571618,-79.37893709999999
15,M6B,North York,Glencairn,43.709577,-79.44507259999999
16,M9B,Etobicoke,Cloverdale,43.6509432,-79.55472440000001
17,M9B,Etobicoke,Islington,43.6509432,-79.55472440000001
18,M9B,Etobicoke,Martin Grove,43.6509432,-79.55472440000001
19,M9B,Etobicoke,Princess Gardens,43.6509432,-79.55472440000001
20,M9B,Etobicoke,West Deane Park,43.6509432,-79.55472440000001
21,M1C,Scarborough,Highland Creek,43.7845351,-79.16049709999999
22,M1C,Scarborough,Rouge Hill,43.7845351,-79.16049709999999
23,M1C,Scarborough,Port Union,43.7845351,-79.16049709999999
24,M3C,North York,Flemingdon Park,43.72589970000001,-79.340923
25,M3C,North York,Don Mills South,43.72589970000001,-79.340923
26,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887
27,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179
28,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002
29,M9C,Etobicoke,Bloordale Gardens,43.6435152,-79.57720079999999
30,M9C,Etobicoke,Eringate,43.6435152,-79.57720079999999
31,M9C,Etobicoke,Markland Wood,43.6435152,-79.57720079999999
32,M9C,Etobicoke,Old Burnhamthorpe,43.6435152,-79.57720079999999
33,M1E,Scarborough,Guildwood,43.7635726,-79.1887115
34,M1E,Scarborough,Morningside,43.7635726,-79.1887115
35,M1E,Scarborough,West Hill,43.7635726,-79.1887115
36,M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312
37,M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
38,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512
39,M1G,Scarborough,Woburn,43.7709921,-79.21691740000001
40,M4G,East York,Leaside,43.7090604,-79.3634517
41,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
